"level";"id";"parent_id";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"message";"created_time";"like_count";"comment_count";"error.message"
"0";"1";"None";"164716453628310_3433554586744464";"seed";"";"";"None";"None";"";"";"";"";""
"1";"2";"1";"3433554586744464_3433560636743859";"data";"data.*";"fetched (200)";"2021-08-04 12:39:26.437406";"Facebook:/<post-id>/comments";"Otro récord esta semana más de 400.000 dosis en un día vamos genial seguír asi";"2021-04-08T16:47:43+0000";"26";"";""
"1";"3";"1";"3433554586744464_3433561830077073";"data";"data.*";"fetched (200)";"2021-08-04 12:39:26.437406";"Facebook:/<post-id>/comments";"Y que lleguen más vacunas";"2021-04-08T16:47:49+0000";"3";"";""
"1";"4";"1";"3433554586744464_3433581823408407";"data";"data.*";"fetched (200)";"2021-08-04 12:39:26.437406";"Facebook:/<post-id>/comments";"Yo me ofrezco voluntario para lo de AstraZeneca, para que no se vayan perdiendo las dosis";"2021-04-08T16:49:24+0000";"22";"";""
"1";"5";"1";"3433554586744464_3433582776741645";"data";"data.*";"fetched (200)";"2021-08-04 12:39:26.437406";"Facebook:/<post-id>/comments";"400 mil dosis al día es muy buen ritmo! Muy pronto estaremos todos vacunados, muchas gracias por todo lo que estáis haciendo por nosotros! #YoMeVacuno";"2021-04-08T16:49:29+0000";"27";"";""
"1";"6";"1";"3433554586744464_3433584046741518";"data";"data.*";"fetched (200)";"2021-08-04 12:39:26.437406";"Facebook:/<post-id>/comments";"A seguir asi para vamos fuerza";"2021-04-08T16:49:36+0000";"1";"";""
"1";"7";"1";"3433554586744464_3433589673407622";"data";"data.*";"fetched (200)";"2021-08-04 12:39:26.437406";"Facebook:/<post-id>/comments";"https://www.facebook.com/1426129697618943/posts/3066391056926124/";"2021-04-08T16:50:24+0000";"0";"";""
"1";"8";"1";"3433554586744464_3433598186740104";"data";"data.*";"fetched (200)";"2021-08-04 12:39:26.437406";"Facebook:/<post-id>/comments";"Angel Fernandez me encanta ese optimismo más gente como tu";"2021-04-08T16:54:10+0000";"8";"";""
"1";"9";"1";"3433554586744464_3433598760073380";"data";"data.*";"fetched (200)";"2021-08-04 12:39:26.437406";"Facebook:/<post-id>/comments";"Quiero mi segunda dosis de AstraZeneca";"2021-04-08T16:54:27+0000";"10";"";""
"1";"10";"1";"3433554586744464_3433598983406691";"data";"data.*";"fetched (200)";"2021-08-04 12:39:26.437406";"Facebook:/<post-id>/comments";"Tenemos que dar gracias por el Ministerio de sanidad que nos vuelve locos y de esta manera sabemos con más seguridad que es lo que queremos";"2021-04-08T16:54:33+0000";"0";"";""
"1";"11";"1";"3433554586744464_3433599143406675";"data";"data.*";"fetched (200)";"2021-08-04 12:39:26.437406";"Facebook:/<post-id>/comments";"Santi Doñate esa es la actitud echaba de menos gente optimista en los comentarios";"2021-04-08T16:54:36+0000";"9";"";""
