"level";"id";"parent_id";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"message";"created_time";"like_count";"comment_count";"error.message"
"0";"1";"None";"164716453628310_3587629651336956";"seed";"";"";"None";"None";"";"";"";"";""
"1";"2";"1";"3587629651336956_3587650904668164";"data";"data.*";"fetched (200)";"2021-08-04 13:16:36.240929";"Facebook:/<post-id>/comments";"Aztazeneca  no";"2021-05-31T08:01:31+0000";"1";"";""
"1";"3";"1";"3587629651336956_3587651131334808";"data";"data.*";"fetched (200)";"2021-08-04 13:16:36.240929";"Facebook:/<post-id>/comments";"Ayer me la pusieron a mi. Excelente organización del Hospital de Getafe. Y todo llega, paciencia y cuidado los que estáis esperando. ";"2021-05-31T08:01:40+0000";"18";"";""
"1";"4";"1";"3587629651336956_3587660958000492";"data";"data.*";"fetched (200)";"2021-08-04 13:16:36.240929";"Facebook:/<post-id>/comments";"Volveremos a la normalidad ^^";"2021-05-31T08:07:23+0000";"1";"";""
"1";"5";"1";"3587629651336956_3587661028000485";"data";"data.*";"fetched (200)";"2021-08-04 13:16:36.240929";"Facebook:/<post-id>/comments";"Pues en Asturias está fatal para dar cita,lo hacen con una máquina que habla y te corta en la segunda pregunta,mi marido lo llamo 2 veces y no le han dado cita. QUE SE LO HAGAN MIRAR. Gente que fue llamada hasta 10 veces y está sin cita. No está funcionando como dicen  Mentiras.";"2021-05-31T08:07:27+0000";"5";"";""
"1";"6";"1";"3587629651336956_3587664001333521";"data";"data.*";"fetched (200)";"2021-08-04 13:16:36.240929";"Facebook:/<post-id>/comments";"Hoy me toca la 2 dosis";"2021-05-31T08:09:30+0000";"4";"";""
"1";"7";"1";"3587629651336956_3587666677999920";"data";"data.*";"fetched (200)";"2021-08-04 13:16:36.240929";"Facebook:/<post-id>/comments";"";"2021-05-31T08:11:18+0000";"0";"";""
"1";"8";"1";"3587629651336956_3587669347999653";"data";"data.*";"fetched (200)";"2021-08-04 13:16:36.240929";"Facebook:/<post-id>/comments";"Para cuando la respuesta a los médicos? Nos estáis matando! https://www.dsalud.com/reportaje/confirman-que-las-mascarillas-son-peligrosas-para-la-salud/";"2021-05-31T08:13:04+0000";"2";"";""
"1";"9";"1";"3587629651336956_3587671004666154";"data";"data.*";"fetched (200)";"2021-08-04 13:16:36.240929";"Facebook:/<post-id>/comments";"Mireia Long Tratan la gente como ganado en la entrada! Han tenido un concurso de más groseras imposible";"2021-05-31T08:13:59+0000";"4";"";""
"1";"10";"1";"3587629651336956_3587674194665835";"data";"data.*";"fetched (200)";"2021-08-04 13:16:36.240929";"Facebook:/<post-id>/comments";"Estaréis comprando también astrazeneca para las segundas dosis. Los experimentos de mezclar vacunas para los politicos";"2021-05-31T08:15:49+0000";"10";"";""
