"level";"id";"parent_id";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"message";"created_time";"like_count";"comment_count";"error.message"
"0";"1";"None";"164716453628310_3720325961400657";"seed";"";"";"None";"None";"";"";"";"";""
"1";"2";"1";"3720325961400657_3720328698067050";"data";"data.*";"fetched (200)";"2021-08-04 13:44:01.569312";"Facebook:/<post-id>/comments";"🌹";"2021-07-19T13:33:00+0000";"0";"";""
"1";"3";"1";"3720325961400657_3720335924732994";"data";"data.*";"fetched (200)";"2021-08-04 13:44:01.569312";"Facebook:/<post-id>/comments";" Dictadura! No a la vacuna!";"2021-07-19T13:36:07+0000";"24";"";""
"1";"4";"1";"3720325961400657_3720343754732211";"data";"data.*";"fetched (200)";"2021-08-04 13:44:01.569312";"Facebook:/<post-id>/comments";"Samanta Prosdocimo yo me sumo tambien al decir, NO a la Vacuna. ";"2021-07-19T13:39:30+0000";"9";"";""
"1";"5";"1";"3720325961400657_3720345311398722";"data";"data.*";"fetched (200)";"2021-08-04 13:44:01.569312";"Facebook:/<post-id>/comments";"""Las vacunas van permitir iniciar el processo de recuperacion e transformacion que nuestro país precisa"".  Que transformacion? Franquismo 2.0??";"2021-07-19T13:40:10+0000";"4";"";""
"1";"6";"1";"3720325961400657_3720346138065306";"data";"data.*";"fetched (200)";"2021-08-04 13:44:01.569312";"Facebook:/<post-id>/comments";"Gracias a Dios aun queda gente que no va en masa con la sumisión de una oveja!!!! ";"2021-07-19T13:40:27+0000";"10";"";""
"1";"7";"1";"3720325961400657_3720350858064834";"data";"data.*";"fetched (200)";"2021-08-04 13:44:01.569312";"Facebook:/<post-id>/comments";"👍👌👏";"2021-07-19T13:42:28+0000";"0";"";""
"1";"8";"1";"3720325961400657_3720355518064368";"data";"data.*";"fetched (200)";"2021-08-04 13:44:01.569312";"Facebook:/<post-id>/comments";"A ver si es verdad";"2021-07-19T13:44:20+0000";"0";"";""
"1";"9";"1";"3720325961400657_3720356834730903";"data";"data.*";"fetched (200)";"2021-08-04 13:44:01.569312";"Facebook:/<post-id>/comments";"Samanta Prosdocimo nadie te obliga, no se el concepto de dictadura que tienes, deberías coger el diccionario. ";"2021-07-19T13:44:47+0000";"6";"";""
"1";"10";"1";"3720325961400657_3720357634730823";"data";"data.*";"fetched (200)";"2021-08-04 13:44:01.569312";"Facebook:/<post-id>/comments";"Ya suena a diarrea";"2021-07-19T13:45:04+0000";"2";"";""
"1";"11";"1";"3720325961400657_3720362664730320";"data";"data.*";"fetched (200)";"2021-08-04 13:44:01.569312";"Facebook:/<post-id>/comments";"No nos cabe ninguna duda. Eso sí, no sabemos qué recuperación o qué transformación estáis tramando. #YoNoMeVacuno con esto.";"2021-07-19T13:46:47+0000";"58";"";""
"1";"12";"1";"3720325961400657_3720362881396965";"data";"data.*";"fetched (200)";"2021-08-04 13:44:01.569312";"Facebook:/<post-id>/comments";"Đåviđ NarroUrones 👏👏👏";"2021-07-19T13:46:53+0000";"1";"";""
"1";"13";"1";"3720325961400657_3720362944730292";"data";"data.*";"fetched (200)";"2021-08-04 13:44:01.569312";"Facebook:/<post-id>/comments";"Lo bueno va a ser cuando toque ir a votar, yo esas elecciones no me las pierdo van hacer historia en los anales de la democracia. Venga a vacunarse que servir no me servirán de mucho a mi pero por lo menos le doy trabajo a las sanitarias y enfermeras que últimamente se tocaban mucho el pepe.";"2021-07-19T13:46:54+0000";"5";"";""
"1";"14";"1";"3720325961400657_3720364218063498";"data";"data.*";"fetched (200)";"2021-08-04 13:44:01.569312";"Facebook:/<post-id>/comments";"Vaya inútil.";"2021-07-19T13:47:24+0000";"2";"";""
"1";"15";"1";"3720325961400657_3720369428062977";"data";"data.*";"fetched (200)";"2021-08-04 13:44:01.569312";"Facebook:/<post-id>/comments";"Estaría bien que ya que hay gente que os hace caso🤣🤣🤣 dijerais que respeten a la gente sin mascarilla, que se les olvida que no nos estamos saltando ninguna normativa. Usted misma dijo que no hay contagio por vía aérea.";"2021-07-19T13:49:41+0000";"25";"";""
"1";"16";"1";"3720325961400657_3720369871396266";"data";"data.*";"fetched (200)";"2021-08-04 13:44:01.569312";"Facebook:/<post-id>/comments";"Marisol Benitez y yo";"2021-07-19T13:49:55+0000";"4";"";""
"1";"17";"1";"3720325961400657_3720371418062778";"data";"data.*";"fetched (200)";"2021-08-04 13:44:01.569312";"Facebook:/<post-id>/comments";"Đåviđ NarroUrones eso mismo estoy intentando decir yo también, pero se creen que si no se vacunan les amenazan o algo ...no entiendo a qué se refieren con eso y a que nos obligan a vacunar";"2021-07-19T13:50:30+0000";"1";"";""
"1";"18";"1";"3720325961400657_3720372831395970";"data";"data.*";"fetched (200)";"2021-08-04 13:44:01.569312";"Facebook:/<post-id>/comments";"https://www.mirror.co.uk/news/uk-news/astrazeneca-covid-jab-blood-clot-24557403?fbclid=IwAR3yTLton2EUg8IVC7ZZ7Hgj9u0eeAoNBjag-fyMGvQ6hrI1dYt6o418YZs";"2021-07-19T13:51:05+0000";"0";"";""
"1";"19";"1";"3720325961400657_3720378561395397";"data";"data.*";"fetched (200)";"2021-08-04 13:44:01.569312";"Facebook:/<post-id>/comments";"#LongCovid #covidpersistente ";"2021-07-19T13:53:32+0000";"0";"";""
"1";"20";"1";"3720325961400657_3720382701394983";"data";"data.*";"fetched (200)";"2021-08-04 13:44:01.569312";"Facebook:/<post-id>/comments";"Deisy Marin Diaz porque la realidad es que son unos cobardes, les gustaría hacerlo pero les puede el miedo que les han metido 4 youtuber, Miguel Bosé y algún trastornado más.  Y buscan que la gente les siga su juego para no ser los únicos sin vacunarse, y solo les queda decir que es una dictadura porque con lo del 5G y el microchip , ya nos hemos reído bastante. ";"2021-07-19T13:55:19+0000";"1";"";""
"1";"21";"1";"3720325961400657_3720392134727373";"data";"data.*";"fetched (200)";"2021-08-04 13:44:01.569312";"Facebook:/<post-id>/comments";"🔴 NO SON VACUNAS, SON EXPERIMENTOS GENÉTICOS";"2021-07-19T13:59:35+0000";"4";"";""
"1";"22";"1";"3720325961400657_3720392408060679";"data";"data.*";"fetched (200)";"2021-08-04 13:44:01.569312";"Facebook:/<post-id>/comments";"";"2021-07-19T13:59:42+0000";"0";"";""
"1";"23";"1";"3720325961400657_3720393288060591";"data";"data.*";"fetched (200)";"2021-08-04 13:44:01.569312";"Facebook:/<post-id>/comments";"Đåviđ NarroUrones madre mia pues esque yo no hago caso de nadie, ni a los de la tele ni a nadie, yo he tenido siempre todas mis vacunas puestas y de esta me vacunado porque pienso que para mí es lo mejor lo hago por mi , que el día de mañana me produzca efectos ...pues bueno que le voy hacer, de algo tendremos que morir el día de mañana todo es arriesgarse, el tabaco también mata, el alcohol y las drogas tbien matan y también traen consecuencias y hay gente que lo consume día sí y día también sabiendo lo que perjudica pero son libres y cada uno es libre de hacer con su cuerpo, con su salud y con su vida lo que les da la gana y respetando las decisiones que cada uno quiera tomar y no por eso seguimos una dictadura ni somos borregos ni somos ovejas ni somos nada, somos personas humanas que sabemos lo que es bueno y lo que es malo para uno mismo ya es5a";"2021-07-19T14:00:09+0000";"0";"";""
"1";"24";"1";"164716453628310_3720325961400657";"offcut";"";"fetched (200)";"2021-08-04 13:44:01.569312";"Facebook:/<post-id>/comments";"";"";"";"";""
