FECHA;IDENTIFICACION;ID_POST;TITULAR;COMENTARIOS;ARCHIVO
20/06/2020;1;posts/2617205941712670;España se incorpora al equipo negociador de la UE para la compra de vacunas frente a la COVID-19. El Comité de Dirección de este acuerdo seleccionó un equipo negociador, que estará formado por representantes de siete países, España, Alemania, Francia, Holanda, Suecia, Polonia e Italia;2000;20200620-SinProcesar.csv
25/08/2020;2;posts/2804779619621967;España se suma a la compra centralizada de la CE de la vacuna de Astrazeneca. Esta vacuna es una de las alternativas más avanzadas y está ya llevando a cabo ensayos clínicos para garantizar su seguridad y eficacia. España, junto con otros Estados miembros, se ha sumado a la compra de esta vacuna. El reparto se hará de manera equitativa entre los países acorde a su población. Esta negociación se enmarca dentro de la Estrategia Europea de vacunas, a la que se adhirió España en julio;620;20200825-SinProcesar.csv
28/08/2020;3;posts/2814267875339808;El ministro de Sanidad, Salvador Illa, anuncia la autorización por parte de la @AEMPSGOB del primer ensayo clínico para la vacuna contra la #COVIDー19 en España ;4500;20200828-SinProcesar.csv
17/09/2020;4;posts/2878996448866950;"""Esto va a acabar gracias a la ciencia. Hemos apostado por un enfoque europeo que garantiza: una capacidad mayor de compra de vacunas y un reparto equitativo entre países. Vamos a informar con transparencia""";2900;20200917-SinProcesar.csv
20/10/2020;5;posts/2983258528440741;El Consejo de Ministros autoriza la adquisición de más de 31 millones de dosis de vacunas contra la COVID-19;639;20201020-SinProcesar.csv
05/11/2020;6;posts/3025685944197999;Los laboratorios Zendal fabricarán para Europa la vacuna contra la #COVID19 de la empresa estadounidense Novavax;771;20201105-SinProcesar.csv
10/11/2020;7;posts/3039495552817038;BioNTech y Pfizer publican datos intermedios de eficacia de su vacuna contra la #COVID19;898;20201110-SinProcesar.csv
18/11/2020;8;posts/3060918930674700;La AEMPS autoriza el primer ensayo clínico fase III para la vacuna contra la #COVID19 en España;1400;20201118-SinProcesar.csv
21/12/2020;9;posts/3145582662208326;ÚLTIMA HORA: la Agencia Europa del Medicamento da luz verde a la vacuna contra la #COVID19 de Pfizer y BioNTech;1900;20201221-SinProcesar.csv
23/12/2020;10;posts/3147653592001233;El desarrollo de las vacunas es sumamente complejo y supone una media de entre 4 y 7 años. ¿Por qué se ha acelerado de manera extraordinaria la vacuna frente a la COVID-19 sin comprometer los estándares habituales de la calidad, seguridad y eficacia?;945;20201223-SinProcesar.csv
26/12/2020;11;posts/3156731954426730;ÚLTIMA HORA: Llegan a España las primeras dosis de la vacuna contra la #COVID19;12000;20201226-SinProcesar.csv
27/12/2020;12;posts/3159061334193792;ÚLTIMA HORA: Araceli Rosario Hidalgo es la primera persona vacunada en nuestro país. Nacida en 1924, vive desde el año 2013 en la residencia de mayores Los Olmos de Guadalajara;1800;20201227-SinProcesar.csv
11/01/2021;13;posts/3195923603840898;A pesar del temporal y la #OlaDeFrío la distribución de la #VacunaCOVID a las CC.AA no se detiene;2800;20210111-SinProcesar.csv
19/01/2021;14;posts/3217504281682830;España a punto de alcanzar un millón de dosis administradas. Cerca de diez mil personas han recibido ya las dos dosis;3200;20210119-SinProcesar.csv
20/01/2021;15;posts/3220143781418880;España supera el millón de dosis administradas. Más de quince mil personas han recibido ya las dos dosis;230;20210120a-SinProcesar.csv
20/01/2021;16;posts/3220262994740292;España es el segundo país de la UE y el 7º del mundo en vacunación;521;20210120b-SinProcesar.csv
21/01/2021;17;posts/3222102234556368;Araceli Rosario y Mónica Tapias fueron las primeras en vacunarse contra la #COVID19 en España. Esta semana han recibido la segunda dosis;587;20210121-SinProcesar.csv
25/01/2021;18;posts/3233351793431412;España supera el 90% de dosis administradas. Más de ochenta mil personas han recibido ya las dos dosis;132;20210125-SinProcesar.csv
01/02/2021;19;posts/3250767148356543;Más de 350.000 personas han recibido ya las dos dosis;198;20210201-SinProcesar.csv
02/02/2021;20;posts/3253029958130262;Más de 400.000 personas han recibido ya las dos dosis;190;20210202-SinProcesar.csv
03/02/2021;21;posts/3255513671215224;Casi 500.000 personas han recibido ya las dos dosis;263;20210203-SinProcesar.csv
04/02/2021;22;posts/3257824224317502;Más 580.000 personas han recibido ya las dos dosis;152;20210204-SinProcesar.csv
05/02/2021;23;posts/3260498470716744;Más 680.000 personas han recibido ya las dos dosis;205;20210205-SinProcesar.csv
06/02/2021;24;posts/3262895337143724;ÚLTIMA HORA: España recibe las primeras 196.800 dosis de la vacuna de AstraZeneca y la Universidad de Oxford contra la #COVID19;123;20210206-SinProcesar.csv
09/02/2021;25;posts/3269746906458567;Actualización del informe de actividad de #vacunación en España;101;20210209-SinProcesar.csv
11/02/2021;26;posts/3274921595941098;España recibe 228.000 nuevas dosis de la vacuna de AstraZeneca y la Universidad de Oxford contra la #COVID19;2500;20210211-SinProcesar.csv
12/02/2021;27;posts/3277454529021138;Más de un millón de personas han recibido ya la pauta completa de la vacuna frente a la COVID-19 desde que, el pasado 27 de diciembre, se administrara la primera dosis en una residencia de mayores de Guadalajara a Araceli Rosario Hidalgo, de 96 años.;368;20210212-SinProcesar.csv
16/02/2021;28;posts/3286835708083020;Actualización del informe de actividad de #vacunación en España;115;20210216-SinProcesar.csv
22/02/2021;29;posts/3301104426656148;Actualización del informe de actividad de #vacunación en España;187;20210222-SinProcesar.csv
